idade,data,endereco,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao
56,19/01/1968,"Estrada Barbosa, 255
Vila Tirol
53133-647 Barros / PR",Pará,13550.54,Ensino Médio,0,Casado,Tecnologia
49,31/01/1975,"Pátio de Vieira, 83
Jonas Veiga
53832-319 Cardoso / PR",Rio Grande do Norte,3124.72,Ensino Médio,3,Casado,Indústria
54,26/08/1969,"Morro de Pereira
Piraja
36797-897 Rocha / PA",Minas Gerais,7534.6,Ensino Médio,0,Casado,Tecnologia
61,19/03/1963,"Área Marina Martins, 34
São Sebastião
10696-521 das Neves / PE",Amapá,4067.73,Ensino Fundamental,1,Solteiro,Comércio
30,09/12/1993,"Esplanada de Fernandes, 58
Marieta 3ª Seção
64664398 Gomes / PA",Alagoas,6809.94,Ensino Médio,1,Casado,Tecnologia
54,24/06/1969,"Favela Maria Vitória Jesus, 3
Vila Rica
09722493 Correia / BA",Pará,9025.74,Ensino Médio,1,Solteiro,Indústria
28,25/03/1996,"Área da Cunha
Santo Antônio
54159049 Cardoso dos Dourados / TO",Tocantins,9493.67,Ensino Superior,1,Casado,Comércio
30,20/06/1993,"Condomínio de Ribeiro
Granja Werneck
34811-809 das Neves / MG",Tocantins,4072.6,Ensino Médio,0,Solteiro,Educação
24,21/02/2000,"Loteamento Luiza Rodrigues, 808
Coqueiros
47817796 Jesus / RR",Rio Grande do Norte,4039.96,Ensino Fundamental,1,Solteiro,Indústria
35,02/08/1988,"Condomínio Gustavo Henrique da Mota
Estoril
98388-619 Correia de Goiás / PB",Amazonas,3457.97,Ensino Fundamental,1,Viúvo,Indústria
29,22/02/1995,"Passarela Costa, 79
Bela Vitoria
74834118 Rezende / RJ",Rio Grande do Norte,3913.59,Ensino Médio,1,Casado,Educação
39,08/12/1984,"Via de da Luz, 34
Conjunto Califórnia Ii
87565897 Nascimento / MT",Rio Grande do Sul,11956.86,Ensino Superior,1,Divorciado,Saúde
27,08/11/1996,"Área de Melo, 45
Jardim Guanabara
07586-725 Vieira Verde / SP",São Paulo,4741.55,Ensino Fundamental,2,Casado,Tecnologia
28,04/08/1995,"Passarela de Gomes, 26
Taquaril
35937-010 Silva do Sul / PI",Santa Catarina,5750.38,Ensino Médio,1,Casado,Tecnologia
22,26/07/2001,"Jardim Vitor Hugo Vieira, 586
Havaí
56124881 Farias Alegre / GO",Distrito Federal,3302.26,Ensino Médio,1,Solteiro,Indústria
31,10/04/1993,"Passarela Caio Campos, 43
Barro Preto
42284-477 Nogueira / MA",Pernambuco,6801.59,Ensino Médio,1,Casado,Saúde
46,14/07/1977,"Chácara Alves, 8
Vila São Francisco
53758-045 Porto do Oeste / AC",Distrito Federal,3452.93,Ensino Fundamental,1,Divorciado,Saúde
62,30/06/1961,"Vale Bryan Pinto
Mariano De Abreu
86403249 Ramos / PE",São Paulo,7316.91,Ensino Superior,2,Solteiro,Indústria
23,11/08/2000,"Passarela de Teixeira, 3
Conjunto Minas Caixa
20814446 Farias do Oeste / PI",Paraíba,3076.23,Ensino Médio,0,Casado,Indústria
